Date	Cereals and products	Meat and fish	Egg	Milk and products	Oils and fats	Fruits	Vegetables	Pulses and products	Sugar and confectionery	Spices	Non-alcoholic beverages	Prepared meals, snacks, sweets etc.	Pan, tobacco and intoxicants	Clothing	Footwear	Housing	Fuel and light	Household goods and services	Health	Transport and communication	Recreation and amusement	Education	Personal care and effects
01 September 2016	0.355096881	0.240479679	0.091682482	0.090825791	0.068916776	0.072462873	-0.473170221	0.298732811	0.099450343	0.272074333	0.074773835	0.464699845	0.14750275	0.22518595	0.014420958	0.853388273	-0.175947703	0.14123611	0.218853512	0.224051972	0.057609123	0.172063303	0.419707475
01 October 2016	0.386421666	0.280994519	0.089782043	0.099758024	0.074327715	0.017587574	-0.657831512	0.07396097	0.091584484	0.254284768	0.06351341	0.468014695	0.14916175	0.255722287	0.014686482	0.852101112	-0.087502044	0.139673423	0.232334973	0.276656525	0.065736896	0.166107383	0.351195591
01 November 2016	0.349415661	0.217352341	0.072832365	0.085069947	0.061410109	-0.032901905	-1.406490512	-0.084334559	0.07952845	0.207304163	0.054420271	0.418150531	0.122384862	0.229921354	0.013058898	0.845665303	-0.046876766	0.153928112	0.230703805	0.341228564	0.071981466	0.154963457	0.412414494
01 December 2016	0.370727095	0.137413067	0.045582023	0.075250066	0.069424855	0.012481104	-1.510070188	-0.153697457	0.075421928	0.17874214	0.046407603	0.37751903	0.117257929	0.234349076	0.013889233	0.866259891	0.012784586	0.155947441	0.229315144	0.415672008	0.067597218	0.167824976	0.333041866
01 January 2017	0.375063339	0.042866762	0.005699997	0.037931685	0.080160299	0.100314518	-1.145264861	-0.271500554	0.068599716	0.106595262	0.042374068	0.394703052	0.124814805	0.209374211	0.014616443	0.841803817	0.011985338	0.136489471	0.228565248	0.570333602	0.056795991	0.274293734	0.306127565
01 February 2017	0.357682746	0.097413964	-0.007184151	0.025035271	0.07888986	0.216519763	0.0675396	-0.325958325	0.071357118	0.050963875	0.0356224	0.364585238	0.108732324	0.197170674	0.016105883	0.848239626	0.158522134	0.125284278	0.224135457	0.601162384	0.041761842	0.288668167	0.232629902
01 March 2017	0.402816138	0.08056711	0.018626212	0.020153761	0.075717543	0.291670222	0.821415204	-0.367032938	0.069581386	0.028476632	0.032356263	0.356979558	0.115800406	0.193046877	0.016751117	0.83665517	0.450090183	0.116646272	0.215975355	0.732346725	0.031544886	0.291024565	0.170347372
01 April 2017	0.455650945	-0.026275095	0.003499065	0.04741731	0.07500604	0.26199012	0.668591809	-0.43271588	0.039150234	0.021892303	0.031628955	0.359907918	0.116790142	0.190185488	0.012691127	0.777445727	0.446273507	0.113928729	0.223422132	0.511970517	0.038137919	0.272511029	0.164392072
01 May 2017	0.48746059	0.038885962	-0.004506026	0.063373891	0.048703164	0.256256123	-0.338899949	-0.51418321	0.03541984	-0.029905049	0.030436752	0.389334198	0.12202721	0.170649024	0.011878351	0.741405197	0.419582818	0.099737917	0.21835784	0.419215811	0.036205407	0.287903367	0.109393802
01 June 2017	0.499533865	0.074917888	-0.019988482	0.068868155	0.041384421	0.240799437	-0.402044286	-0.578620114	0.029750597	-0.093050962	0.036303601	0.373167002	0.113232342	0.157344382	0.01228435	0.741405197	0.375032107	0.125444673	0.213888637	0.238731555	0.03935407	0.169467743	0.116693669
01 July 2017	0.520350859	0.076944565	-0.037314848	0.068649571	0.041415261	0.237347744	1.314075556	-0.631306064	0.035585278	-0.122296028	0.045960192	0.482778506	0.128907843	0.200130866	0.014019423	0.728533579	0.399196487	0.12321641	0.255971292	0.208234253	0.054215761	0.190268707	0.071466809
01 August 2017	0.514827146	0.045122388	-0.020132042	0.102589897	0.041311916	0.285117804	2.114497875	-0.62082249	0.028044339	-0.117360214	0.039918348	0.481456636	0.137100829	0.225411583	0.015887796	0.839229494	0.426926863	0.130302331	0.264585523	0.460477767	0.066307128	0.133795106	0.074159157
