வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
62,திரு,ஜெகதீசன்,ராஜமாணிக்கம்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,
62,திரு,வேல்முருகன்,அமலதாஸ்,ஆண்,40,சுயேட்சை வேட்பாளர்,
62,திரு,வெற்றிவேல்,கதிர்வேல்,ஆண்,39,Amma Makkal Munnettra Kazagam,
62,திரு,வடிவேல்,சுப்ரமணி,ஆண்,32,தேசிய முற்போக்கு திராவிட கழகம்,
62,திரு,ராபின் ஸ்மித்,சிவபெருமாள்,ஆண்,32,சுயேட்சை வேட்பாளர்,
62,திருமதி,ராதிகா,அசோக்குமார்,பெண்,40,சுயேட்சை வேட்பாளர்,
62,திரு,முத்துகுமார்,சீனிவாசன்,ஆண்,39,சுயேட்சை வேட்பாளர்,
62,திரு,பொன்னுவேல்,நாராயணசாமி,ஆண்,53,பகுஜன் சமாஜ் கட்சி,
62,திரு,தேவராஜ்,கிருஷ்ணன்,ஆண்,39,Pattali Makkal Katchi,
62,திரு,சுரேஷ்,கோதண்டம்,ஆண்,50,சுயேட்சை வேட்பாளர்,
62,திரு,கலைமணி,பெருமாள்,ஆண்,50,சுயேட்சை வேட்பாளர்,
62,திருமதி,கலைச்செல்வி,குருமூர்த்தி,பெண்,47,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
62,திருநங்கை,அபர்னா,வேலன்,திருநங்கை,23,சுயேட்சை வேட்பாளர்,
62,திரு,பிரபாகரன்,தரணி,ஆண்,39,Naam Tamilar Katchi,
62,திரு,அன்பு,குருமூர்த்தி,ஆண்,26,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
63,திரு,ஜெகதீஷ்,பஞ்சாட்சரம்,ஆண்,40,Makkal Needhi Maiam,
63,திரு,ரவிகுமார்,கோவிந்தன்,ஆண்,53,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
63,திரு,மகேஷ்குமார்,ஞானமூர்த்தி,ஆண்,29,சுயேட்சை வேட்பாளர்,
63,திரு,பிரபு,மாரிமுத்து,ஆண்,38,Naam Tamilar Katchi,
63,திரு,சுல்தான்,அப்துல் ரசாக்,ஆண்,51,பகுஜன் சமாஜ் கட்சி,
63,திரு,சுரேஷ்,சண்முகம்,ஆண்,38,Amma Makkal Munnettra Kazagam,
63,திரு,சத்தியா,குமார்,ஆண்,34,சுயேட்சை வேட்பாளர்,
63,திரு,அபுபக்கர் சித்திக்,அப்துல் காதர்,ஆண்,34,Social Democratic Party of India,
63,திரு,சிவ ராஜசேகரன்,சிவரமலிங்கம் ,ஆண்,46,இந்திய தேசிய காங்கிரஸ் ,
63,திரு,சரவணன்,சுந்தரம்,ஆண்,49,சுயேட்சை வேட்பாளர்,
63,திரு,அரவிந்,சச்சிதானந்தம்,ஆண்,30,சுயேட்சை வேட்பாளர்,
63,திரு,கோவிந்தராஜ்,முருகேசன்,ஆண்,46,சுயேட்சை வேட்பாளர்,
63,திரு,கார்த்திகேயன்,சுப்ரமணியன்,ஆண்,39,சுயேட்சை வேட்பாளர்,
63,திரு,கெஜபதி,கெங்கையா செட்டி,ஆண்,75,பாரதிய ஜனதா கட்சி,
63,திரு,கோபாலகிருஷ்ணன்,தாமேதரன்,ஆண்,34,Pattali Makkal Katchi,
63,திரு,பிரசன்னகுமார்,ரவிகுமார்,ஆண்,23,சுயேட்சை வேட்பாளர்,
63,திரு,பிரேம்ராஜ்,வேலன்,ஆண்,31,தேசிய முற்போக்கு திராவிட கழகம்,
63,திரு,சுலைமான்,பாவா சாகிப்,ஆண்,57,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
63,திரு,சுந்தரேசன்,மதுரை,ஆண்,67,Amma Makkal Munnettra Kazagam, திரும்பப்பெறப் பட்டது 
63,திருமதி,மீனாட்சி,சிவ.ராஜசேகரன்,பெண்,45,இந்திய தேசிய காங்கிரஸ் , திரும்பப்பெறப் பட்டது 
63,திரு,பத்மநாபன்,பூவராகவலு,ஆண்,70,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
63,திரு,அபுபக்கர் சித்திக்,அப்துல் காதர்,ஆண்,34,Social Democratic Party of India, நிராகரிக்கப் பட்டது 
63,திரு,சுல்தான்,அப்துல் ரசாக்,ஆண்,51,பகுஜன் சமாஜ் கட்சி, நிராகரிக்கப் பட்டது 
64,திரு,ஹரிஷ்குமார்,ஜி பிரபாகரன்,ஆண்,30,சுயேட்சை வேட்பாளர்,
