VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
  TN 05 AQ 4833,ANDERSON ROAD,1, , ,12, ,6,69,0
 TN 05 CY 7839,JAMALIA (NEAR DIV-71 OFFICE),1, ,10.45, , ,6,70,0
 TN 05 AD 7485,BASHYAM REDDY STREET,3, ,10, , ,6,71,0
 TN 05 BR 9571,DECASTOR ROAD,3,7, , , ,6,72,0
 TN 05 CH 8625,AMMIYANMAL STREET,2, ,10.5, , ,6,73,0
TN 05 AV 6284 ,BARRAKA ROAD,6, ,9.35, , ,6,74,0
 TN 04AQ 7048,BHAVANI AMMAN KOIL STREET,2, ,11, , ,6,75,0
 TN 05 AQ 6446,ANJENAYAR KOIL,5,8.25, , , ,6,76,0
 TN 05 AY 6478,DEMALOUS ROAD,6,8.35, , , ,6,77,0
 TN 05 AQ 4872,ANGALAMMAN KOIL STREET,2, , ,11.35, ,6,78,0
TN 04 AP 9057,AKA NAGAR (ORAGADAM),2,12.55,-,-, ,7,79,0
 TN 04 AP 9038,BANU NAGAR 19TH AVENUE,3,11.55,-,-, ,7,80,0
TN 04 AY 6481,D.L BALAJI,2,9.45,-,-, ,7,81,0
TN 02 BU 0478,EASTREET BALAJI NAGAR,5,11:27 TO 11:32, , ,NIGHT,7,82,0
TN 02 BU 0478,EASTREET BALAJI NAGAR,5,11:27 TO 11:32, , ,NIGHT,7,82,2
TN 02 BU 0478,AGASTREETHIYAR STREET,5, ,05:31 TO 05:37, ,NIGHT,7,83,0
TN 02 BU 0478,MADANAKUPPAM ,4, ,12:27 TO 12:32, ,DAY,7,83,1
TN 02 BU 0478,AGASTREETHIYAR STREET,5, ,05:31 TO 05:37, ,NIGHT,7,83,2
TN 22 CH 7241,DHROUPATI AMMAN KOVIL,3,9.45,-,-, ,7,84,0
TN 02 BU 0478,AGASTHIYAR STREET,5,08:25 TO 08:33, , ,DAY,7,85,0
TN 02 BU 0478,AGASTHIYAR STREET,5,08:25 TO 08:33, , ,DAY,7,85,1
TN 22 CH 7682,CHURCH ROAD (CPS),5,7.45,-,-, ,7,87,0
TN 04 6481,FIRST AVENUE,4,-,-,1.3, ,7,88,0
 TN 04 AP 9036,THIRUMANGALAM MAIN ROAD ( APPU FLATS),2,9.3,-,-, ,7,89,0
 TN 04 1804,EAST MAIN ROAD,3,-,11.3,-, ,7,90,0
TN 04 AP 9036,KAVIMANI SALAI,4,9,-,-, ,7,91,0
