Zone,Div,Address,Area,StreetLight
4,35,"A.P.Arasu  3rd Lane  Nehru Nagar, Erukkencherry",Erukkencherry,1
4,35,"A.P.Arasu  4th Lane  Nehru Nagar, Erukkencherry",Erukkencherry,2
4,35,"A.P.Arasu Street  Nehru Nagar, Erukkencherry",Erukkencherry,13
4,35,"Abirami Avenue 10th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,2
4,35,"Abirami Avenue 12th Extension  Abirami Avenue, Kodungaiyur",Kodungaiyur,2
4,35,"Abirami Avenue 12th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,7
4,35,"Abirami Avenue 13th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,5
4,35,"Abirami Avenue 1st Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,3
4,35,"Abirami Avenue 2nd Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,2
4,35,"Abirami Avenue 5th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,3
4,35,"Abirami Avenue 6th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,5
4,35,"Abirami Avenue 7th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,4
4,35,"Abirami Avenue 8th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,3
4,35,"Abirami Avenue 9th Street  Abirami Avenue, Kodungaiyur",Kodungaiyur,2
4,35,"Ambedkar 1st Cross Street  Kennedy Nagar, Erukkencherry",Erukkencherry,2
4,35,"Ambedkar 2nd Cross Street  Kennedy Nagar, Erukkencherry",Erukkencherry,4
4,35,"Ambedkar Street  Kennedy Nagar, Erukkencherry",Erukkencherry,6
4,35,"Anna Salai 2nd Cross Street  Nehru Nagar, Erukkencherry",Erukkencherry,6
4,35,"Anna Salai 3rd Cross Street  Nehru Nagar, Erukkencherry",Erukkencherry,6
4,35,"Anna Salai 5th Cross Street  Nehru Nagar, Erukkencherry",Erukkencherry,7
4,35,"Anna Salai Main Street  Nehru Nagar, Erukkencherry",Erukkencherry,36
4,35,"Bakthavachalam 1st Street  Kurinji Nagar, Kodungaiyur",Kodungaiyur,1
4,35,"Balakrishnan Street  Nehru Nagar, Erukkencherry",Erukkencherry,7
4,35,"Bharathidasan Street  Nehru Nagar, Erukkencherry",Erukkencherry,8
4,35,"Bharathidasan Street  Tamil Harijan Colony, Kodungaiyur",Kodungaiyur,7
4,35,"C.S.I School Road  Tamil Harijan Colony, Kodungaiyur",Kodungaiyur,4
4,35,"Cauvery Salai 1st Street  Jambuli Village, Kodungaiyur",Kodungaiyur,12
4,35,"Cauvery Salai 2nd Street  Jambuli Village, Kodungaiyur",Kodungaiyur,4
4,35,"Cauvery Salai 3rd Street  N.C.L Nagar, Selavoyal",Selavoyal,2
4,35,"Cauvery Salai 4th Street  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,2
4,35,"Cauvery Salai Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,15
4,35,"Chinnakuzhandhai 2nd Lane  Ramana Nagar Siruvallur, Perambur",Perambur,2
4,35,"Chinnathambiran Street  Rajiv Gandhi Nagar, Erukkencherry",Erukkencherry,5
4,35,"Dr. Ambedkar Main Road  Tamil Harijan Colony, Kodungaiyur",Kodungaiyur,15
