Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
RAJKOT,38,34,35,75,115,100,93,91,42,59,185,140,144,159,141,110,54,300,17,21,18,30,2023-06-15,22.3053263,70.8028377,WEST ZONE
SURAT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,45.9383,3.2553,WEST ZONE
BHUJ,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,23.2472446,69.668339,WEST ZONE
SELAMBA,52,34,40,77,123,108,113,98,40,59,167,132,115,108,118,113,45,397,18,25,19,32,2023-06-15,21.5199054,73.8179195,WEST ZONE
WAGHAI,36,36,38,75,115,102,109,113,43,54,194,156,142,156,167,116,49,430,9,23,19,23,2023-06-15,20.771037,73.5016522,WEST ZONE
BODELI,35,30,32,77,116,99,97,94,40,54,189,189,175,175,181,150,43,286,13,29,26,40,2023-06-15,22.2748105,73.7166363,WEST ZONE
VAPI,35,30,38,89,121,120,115,100,40,62,185,165,175,180,185,150,52,260,11,20,25,20,2023-06-15,20.3735482,72.9084376,WEST ZONE
BILIMORA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
IDAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
JHALOD,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
SONGASH,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
BHOPAL,33,25,27,70,150,118,107,82,42,58,185,145,130,100,135,NR,48,240,17,14,12,29,2023-06-15,23.2584857,77.401989,WEST ZONE
INDORE,34,23,27,67,120,100,97,91,41,61,191,152,132,110,131,105,48,242,17,17,12,21,2023-06-15,22.7203616,75.8681996,WEST ZONE
GWALIOR,32,31,42,68,149,96,101,81,42,66,199,140,122,114,135,NR,48,230,28,16,14,18,2023-06-15,26.2037247,78.1573628,WEST ZONE
JABALPUR,36,30,32,74,96,86,90,82,42,64,174,142,108,118,140,104,35,280,15,22,16,18,2023-06-15,23.1608938,79.9497702,WEST ZONE
REWA,33,21,43,91,101,71,115,92,43,52,171,155,115,140,139,NR,42,393,17,13,15,33,2023-06-15,24.756718,81.6549347,WEST ZONE
SAGAR,31,22,28,65,132,102,95,82,41,55,196,143,98,107,125,97,48,227,19,14,11,33,2023-06-15,23.8096123,78.7591136,WEST ZONE
JHABUA,34,32,36,76,118,118,118,118,48,56,186,178,156,143,191,NR,57,282,20,22,24,25,2023-06-15,22.8858522,74.7251337,WEST ZONE
HOSHANGABAD,38,25,30,70,114,100,96,93,40,56,178,140,115,128,155,110,42,340,12,20,22,36,2023-06-15,22.6001502,77.9266452,WEST ZONE
SHAHDOL,29,32,35,61,111,83,90,84,41,77,185,150,137,131,180,NR,44,178,26,21,19,13,2023-06-15,23.3002343,81.364771,WEST ZONE
UJJAIN,31,26,30,72,128,102,98,92,40,55,158,142,118,120,159,118,45,180,12,18,15,20,2023-06-15,23.1885131,75.7716562,WEST ZONE
MORENA,30,24,30,65,132,99,90,93,43,65,182,118,125,123,173,107,44,220,16,18,17,19,2023-06-15,26.166667,77.5,WEST ZONE
ANUPPUR,26,27,42,66,142,92,101,93,41,52,NR,135,127,124,173,NR,43,308,16,14,14,22,2023-06-15,,,
BHIND,30,24,30,65,100,85,90,85,40,55,160,120,110,120,160,115,35,230,15,17,20,22,2023-06-15,,,
DHAR,39,24,35,79,146,122,113,103,41,58,192,154,130,108,145,170,50,198,23,20,15,27,2023-06-15,,,
HARDA,30,28,28,65,142,102,98,92,40,55,180,140,120,96,115,NR,44,197,28,18,18,20,2023-06-15,,,
KATNI,35,27,30,70,145,110,110,80,40,50,200,115,100,105,125,110,40,180,28,14,15,23,2023-06-15,,,
KHANDWA,31,25,32,62,141,108,113,108,39,53,166,156,141,110,159,NR,49,268,21,24,13,35,2023-06-15,,,
MANDLA,46,27,35,70,133,103,117,87,40,51,197,130,100,105,140,112,45,248,17,23,18,28,2023-06-15,,,
RAJGARH,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
SIDHI,35,23,34,75,87,71,72,73,43,50,280,163,142,140,143,NR,44,447,13,13,15,16,2023-06-15,,,
CHATTARPUR,38,32,36,70,132,99,112,80,42,50,186,155,135,140,152,117,45,250,24,15,14,10,2023-06-15,,,
NEEMUCH,58,22,29,63,138,107,102,75,40,53,185,135,125,99,133,NR,45,375,9,15,10,22,2023-06-15,,,
BURHANPUR,45,31,34,69,144,104,109,79,40,54,255,124,124,104,124,124,44,200,27,13,13,18,2023-06-15,,,
NARSHINPUR,35,23,34,70,125,113,112,83,39,55,168,160,110,110,153,NR,34,284,10,15,12,21,2023-06-15,,,
RAISEN,33,28,30,70,128,105,110,80,40,60,180,130,100,100,NR,NR,45,200,27,20,15,40,2023-06-15,,,
SHEOPUR,42,21,30,70,140,110,90,80,40,60,170,135,120,130,180,NR,40,280,28,20,20,15,2023-06-15,,,
AGAR MALWA,35,22,32,89,132,108,110,103,41,60,180,173,142,143,182,142,41,362,10,20,19,20,2023-06-15,,,
UMARIA,39,30,35,72,130,112,105,88,46,60,150,120,110,115,203,NR,48,280,19,21,18,38,2023-06-15,,,
