Month ,Type,City,Rate
2020-12-15,19 Kg,Kolkata,1387.5
2020-12-15,19 Kg,Kolkata ,1387.5
2020-12-15,19 Kg,Mumbai,1280.5
2020-12-15,19 Kg,Mumbai ,1280.5
2020-12-02,14.2 Kg,Chennai,660.0
2020-12-02,14.2 Kg,Delhi ,644.0
2020-12-02,14.2 Kg,Kolkata ,670.5
2020-12-02,14.2 Kg,Mumbai ,644.0
2020-12-01,19 Kg,Chennai,1410.5
2020-12-01,19 Kg,Delhi,1296
2020-12-01,19 Kg,Delhi ,1296.0
2020-12-01,19 Kg,Kolkata,1351.5
2020-12-01,19 Kg,Kolkata ,1351.5
2020-12-01,19 Kg,Mumbai,1244.0
2020-12-01,19 Kg,Mumbai ,1244.0
2020-11-01,19 Kg,Chennai,1354
2020-11-01,19 Kg,Delhi,1241.5
2020-11-01,19 Kg,Delhi ,1241.5
2020-11-01,19 Kg,Kolkata,1296
2020-11-01,19 Kg,Kolkata ,1296.0
2020-11-01,19 Kg,Mumbai,1189.5
2020-11-01,19 Kg,Mumbai ,1189.5
2020-10-01,19 Kg,Chennai,1276
2020-10-01,19 Kg,Delhi,1166
2020-10-01,19 Kg,Delhi ,1166.0
2020-10-01,19 Kg,Kolkata,1220
2020-10-01,19 Kg,Kolkata ,1220.0
2020-10-01,19 Kg,Mumbai,1113.5
2020-10-01,19 Kg,Mumbai ,1113.5
2020-09-01,19 Kg,Chennai,1250
2020-09-01,19 Kg,Delhi,1133.5
2020-09-01,19 Kg,Delhi ,1133.5
2020-09-01,19 Kg,Kolkata,1196.5
2020-09-01,19 Kg,Kolkata ,1196.5
2020-09-01,19 Kg,Mumbai,1089.0
2020-09-01,19 Kg,Mumbai ,1089.0
2020-08-01,19 Kg,Chennai,1253
2020-08-01,19 Kg,Delhi,1135.5
2020-08-01,19 Kg,Delhi ,1135.5
2020-08-01,19 Kg,Kolkata,1198.5
2020-08-01,19 Kg,Kolkata ,1198.5
2020-08-01,19 Kg,Mumbai,1091.0
2020-08-01,19 Kg,Mumbai ,1091.0
2020-07-01,19 Kg,Chennai,1255
2020-07-01,19 Kg,Delhi,1135.5
2020-07-01,19 Kg,Delhi ,1135.5
2020-07-01,19 Kg,Kolkata,1197.5
2020-07-01,19 Kg,Kolkata ,1197.5
2020-07-01,19 Kg,Mumbai,1090.5
2020-07-01,19 Kg,Mumbai ,1090.5
2020-06-01,19 Kg,Chennai,1254
2020-06-01,19 Kg,Delhi,1139.5
2020-06-01,19 Kg,Delhi ,1139.5
2020-06-01,19 Kg,Kolkata,1193.5
2020-06-01,19 Kg,Kolkata ,1193.5
2020-06-01,19 Kg,Mumbai,1087.5
2020-06-01,19 Kg,Mumbai ,1087.5
2020-05-01,19 Kg,Chennai,1144.5
2020-05-01,19 Kg,Delhi,1029.5
2020-05-01,19 Kg,Delhi ,1029.5
2020-05-01,19 Kg,Kolkata,1086
2020-05-01,19 Kg,Kolkata ,1086.0
2020-05-01,19 Kg,Mumbai,978.0
2020-05-01,19 Kg,Mumbai ,978.0
2020-04-01,19 Kg,Chennai,1402
2020-04-01,19 Kg,Delhi,1285.5
2020-04-01,19 Kg,Delhi ,1285.5
2020-04-01,19 Kg,Kolkata,1348.5
2020-04-01,19 Kg,Kolkata ,1348.5
2020-04-01,19 Kg,Mumbai,1234.5
2020-04-01,19 Kg,Mumbai ,1234.5
2020-03-01,19 Kg,Chennai,1501.5
2020-03-01,19 Kg,Delhi,1381.5
2020-03-01,19 Kg,Delhi ,1381.5
2020-03-01,19 Kg,Kolkata,1450
2020-03-01,19 Kg,Kolkata ,1450.0
2020-03-01,19 Kg,Mumbai,1331.0
2020-03-01,19 Kg,Mumbai ,1331.0
2020-02-12,14.2 Kg,Chennai,881.0
2020-02-12,14.2 Kg,Delhi ,858.5
2020-02-12,14.2 Kg,Kolkata ,896.0
2020-02-12,14.2 Kg,Mumbai ,829.5
2020-02-01,19 Kg,Chennai,1589.5
2020-02-01,19 Kg,Delhi,1466
2020-02-01,19 Kg,Delhi ,1466.0
2020-02-01,19 Kg,Kolkata,1540.5
2020-02-01,19 Kg,Kolkata ,1540.5
2020-02-01,19 Kg,Mumbai,1416.0
2020-02-01,19 Kg,Mumbai ,1416.0
2020-01-01,19 Kg,Chennai,1363
2020-01-01,19 Kg,Delhi,1241
2020-01-01,19 Kg,Delhi ,1241.0
2020-01-01,19 Kg,Kolkata,1308.5
2020-01-01,19 Kg,Kolkata ,1308.5
2020-01-01,19 Kg,Mumbai,1190.0
2020-01-01,19 Kg,Mumbai ,1190.0
2019-12-01,19 Kg,Chennai,1333
2019-12-01,19 Kg,Delhi,1211.5
2019-12-01,19 Kg,Delhi ,1211.5
2019-12-01,19 Kg,Kolkata,1275.5
2019-12-01,19 Kg,Kolkata ,1275.5
2019-12-01,19 Kg,Mumbai,1160.5
2019-12-01,19 Kg,Mumbai ,1160.5
2019-11-01,19 Kg,Chennai,1319
2019-11-01,19 Kg,Delhi,1204
2019-11-01,19 Kg,Delhi ,1204.0
2019-11-01,19 Kg,Kolkata,1258
2019-11-01,19 Kg,Kolkata ,1258.0
2019-11-01,19 Kg,Mumbai,1151.5
2019-11-01,19 Kg,Mumbai ,1151.5
2019-10-01,19 Kg,Chennai,1199
2019-10-01,19 Kg,Delhi,1085
2019-10-01,19 Kg,Delhi ,1085.0
2019-10-01,19 Kg,Kolkata,1139.5
2019-10-01,19 Kg,Kolkata ,1139.5
2019-10-01,19 Kg,Mumbai,1032.5
2019-10-01,19 Kg,Mumbai ,1032.5
