City,Incidents,Type of road,Injury
SRINAGAR,247,Other Roads,Cases
SRINAGAR,144,Other Roads,Injured
SRINAGAR,164,Other Roads,Died
SURAT,45,National Highways,Cases
SURAT,25,National Highways,Injured
SURAT,24,National Highways,Died
SURAT,20,State Highways,Cases
SURAT,14,State Highways,Injured
SURAT,8,State Highways,Died
SURAT,0,Expressways,Cases
SURAT,0,Expressways,Injured
SURAT,0,Expressways,Died
SURAT,216,Other Roads,Cases
SURAT,217,Other Roads,Injured
SURAT,29,Other Roads,Died
THIRUVANANTHAPURAM,390,National Highways,Cases
THIRUVANANTHAPURAM,443,National Highways,Injured
THIRUVANANTHAPURAM,33,National Highways,Died
THIRUVANANTHAPURAM,289,State Highways,Cases
THIRUVANANTHAPURAM,307,State Highways,Injured
THIRUVANANTHAPURAM,28,State Highways,Died
THIRUVANANTHAPURAM,0,Expressways,Cases
THIRUVANANTHAPURAM,0,Expressways,Injured
THIRUVANANTHAPURAM,0,Expressways,Died
THIRUVANANTHAPURAM,510,Other Roads,Cases
THIRUVANANTHAPURAM,384,Other Roads,Injured
THIRUVANANTHAPURAM,159,Other Roads,Died
THRISSUR,165,National Highways,Cases
THRISSUR,201,National Highways,Injured
THRISSUR,36,National Highways,Died
THRISSUR,619,State Highways,Cases
THRISSUR,682,State Highways,Injured
THRISSUR,57,State Highways,Died
THRISSUR,0,Expressways,Cases
THRISSUR,0,Expressways,Injured
THRISSUR,0,Expressways,Died
THRISSUR,535,Other Roads,Cases
THRISSUR,512,Other Roads,Injured
THRISSUR,47,Other Roads,Died
TIRUCHIRAPPALLI,161,National Highways,Cases
TIRUCHIRAPPALLI,168,National Highways,Injured
TIRUCHIRAPPALLI,47,National Highways,Died
TIRUCHIRAPPALLI,13,State Highways,Cases
TIRUCHIRAPPALLI,11,State Highways,Injured
TIRUCHIRAPPALLI,3,State Highways,Died
TIRUCHIRAPPALLI,0,Expressways,Cases
TIRUCHIRAPPALLI,0,Expressways,Injured
TIRUCHIRAPPALLI,0,Expressways,Died
TIRUCHIRAPPALLI,680,Other Roads,Cases
TIRUCHIRAPPALLI,749,Other Roads,Injured
TIRUCHIRAPPALLI,41,Other Roads,Died
VADODARA,135,National Highways,Cases
VADODARA,101,National Highways,Injured
VADODARA,86,National Highways,Died
VADODARA,0,State Highways,Cases
VADODARA,0,State Highways,Injured
VADODARA,0,State Highways,Died
VADODARA,2,Expressways,Cases
VADODARA,2,Expressways,Injured
VADODARA,0,Expressways,Died
VADODARA,224,Other Roads,Cases
VADODARA,222,Other Roads,Injured
VADODARA,37,Other Roads,Died
VARANASI,52,National Highways,Cases
VARANASI,30,National Highways,Injured
VARANASI,24,National Highways,Died
VARANASI,37,State Highways,Cases
VARANASI,20,State Highways,Injured
VARANASI,10,State Highways,Died
VARANASI,0,Expressways,Cases
VARANASI,0,Expressways,Injured
VARANASI,0,Expressways,Died
VARANASI,344,Other Roads,Cases
VARANASI,305,Other Roads,Injured
VARANASI,67,Other Roads,Died
VASAI VIRAR,150,National Highways,Cases
VASAI VIRAR,67,National Highways,Injured
VASAI VIRAR,113,National Highways,Died
VASAI VIRAR,14,State Highways,Cases
VASAI VIRAR,6,State Highways,Injured
VASAI VIRAR,12,State Highways,Died
VASAI VIRAR,0,Expressways,Cases
VASAI VIRAR,0,Expressways,Injured
VASAI VIRAR,0,Expressways,Died
VASAI VIRAR,31,Other Roads,Cases
VASAI VIRAR,16,Other Roads,Injured
VASAI VIRAR,17,Other Roads,Died
VIJAYAWADA,503,National Highways,Cases
VIJAYAWADA,491,National Highways,Injured
VIJAYAWADA,165,National Highways,Died
VIJAYAWADA,75,State Highways,Cases
VIJAYAWADA,66,State Highways,Injured
VIJAYAWADA,24,State Highways,Died
VIJAYAWADA,0,Expressways,Cases
VIJAYAWADA,0,Expressways,Injured
VIJAYAWADA,0,Expressways,Died
VIJAYAWADA,110,Other Roads,Cases
VIJAYAWADA,95,Other Roads,Injured
VIJAYAWADA,35,Other Roads,Died
VISHAKHAPATNAM,361,National Highways,Cases
VISHAKHAPATNAM,400,National Highways,Injured
VISHAKHAPATNAM,97,National Highways,Died
VISHAKHAPATNAM,39,State Highways,Cases
VISHAKHAPATNAM,43,State Highways,Injured
VISHAKHAPATNAM,18,State Highways,Died
VISHAKHAPATNAM,0,Expressways,Cases
VISHAKHAPATNAM,0,Expressways,Injured
VISHAKHAPATNAM,0,Expressways,Died
VISHAKHAPATNAM,413,Other Roads,Cases
VISHAKHAPATNAM,420,Other Roads,Injured
VISHAKHAPATNAM,85,Other Roads,Died
